RATE,Role,Seniority,Location,Years,Company,Gender,Union
"€ 33,000",3D Artist,Junior,"Dublin, Ireland",3,,Female,No
80000.00,3D Artist,Junior/Mid,New York City,5,,Non Binary,No
1976€ a month (23 700€ a year),3D artist,Junior,France,1 year,,Female,No
31.000DKK,3D Artist,Junior,Copenhagen,0,,Male, No
77 000 cad,3D Artist ,Senior,"Calgary, Canada ",8,,Male,No
60K cad,3d Artist / Modeler,Junior,"Montreal, CA",1,,Male,no
18/HR USD,3D artist/designer,Junior,"Tampa, Florida ",1,,Male,No
38cad $/ h,3D Character Animator,Intermediate,Vancouver,8 years,Sony,Female,No ??
$87.50/hour,3D Character Animator - Freelance,Senior,Los Angeles,14,,Female,No
72 000 CAD,3D Character Artist,Middle,Montréal,5,,Male,
48k myr/yr,3d character artist ,junior,Malaysia,less than 1 yr,,Female,
20000rs,3d character artist and unity environment artist,Junior,"Mumbai, india ",4 months ,Green light studios,Male,
$72 /hr USD,3D Character TD,Senior,"Culver City, Los Angeles",22 years,,Male,No
27k €/y,3D cinematic animator,Mid,Italy,4,Ubisoft,Female,
24k €/y,3D cinematic Animator ,Junior,Italy,2,Ubisoft,Female,no
"£23,000",3D Cover Animator ,Junior,"London, UK",Fresh out of uni,Blue Zoo ,Female,
23k,3D DMP,Junior,Banglore,3months,Technicolor,Male,No
"125,000 USD",3d Environment Artist,Lead,Los Angeles,6,,Female,No
"$180,000 USD/Year",3D Environment Artist,Senior,"Los Angeles, CA",17,,Male,No
$35 USD per hour ,3D Environment Artist,Mid,México,7,Freelance,Male,no
54000 CAD,3D environnement modeler,Junior,Montreal,2,,Male,No
$90k usd plus benefits,3D Game animator,Senior,Los Angeles,10,Amazon Games,Female,No
30000€/year,3D Game Animator,Junior,Paris (France),0,,Male,No
28.800 USD per year,3D game animator ,Senior,Russia,5,Outsource Studio,Male,)))
43000 USD year,3D game artist,Mid,Stockholm,3,,Female,Yes! 
$70000 CAD,3D Gameplay Animator,Mid,Toronto,7,,Female,no
28000 €/Y,3D Gameplay Animator,Junior,Italy,2,Ubisoft,Male,No
"55,000 CAD",3D Generalist,Junior,Vancouver,1,,Male,
75k pounds,3D generalist,Senior ,London,7,,Female,Bectu
85000CAD,3D Generalist,Senior,Vancouver,44750,,Male,
2200 MYR,3D Generalist,Jr,Malaysia ,2,,Female,
"$57,000 AUD",3D Generalist,Jnr,"Brisbane, Australia",3,,Female,
"SGD$25,200",3D Generalist,Junior,Singapore,1,,Female,No
45600 euro,3d generalist,Mid level,Germany,2,,Male,No
"£25,000 p/a",3D Generalist,Mid,UK (Belfast),3,,Male,
28000 danish kroner,3D Generalist,Junior,Denmark,2,,Female,No
500 USD,3D Generalist,Intermediate,Indonesia,less than a year,,Female,no
35~45 USD/hr,3D Generalist,Mid,Bay Area,5,Freelance,Male,No
125USD/h,3D Generalist,Senior,NYC,10,freelance,Male,no
80K AUD per year,3D Generalist,Mid/Senior,Sydney,5,,Male,
$70 USD/ hour ,3D Generalist,Mid,"Bay Area, Ca ",5,,Male,No
HKD 474000,3D Generalist,Lead Artist,Hong Kong,6,Mobile game,Male,No
110000.00,3D Generalist,Senior,"Karachi, Pakistan",7,,Male,
40.000 CHF,3D Generalist,3 years,Switzerland,3,,Male,No
"2200 monthly,26K per year, MYR",3D Generalist ,Jr,Malaysia ,2,,Female,
48000 Euro ,3D generalist ,Mid,Germany ,8,,Male,
1865 euro monthly ,3D Generalist ,Junior ,Hungry ,4 years,,Female,
15 euro/day,3D Layout,Junior,France,1,,Female,
42000 cad,3d Layout,Junior,Montreal,1,,Male,Nope
"£28,000",3D Layout,Mid,London,3,Blue Zoo,Female,No
65K year CAD,3d Layout,Mid,Canada,2,,Male,No
"54,600 CAD",3D Layout ,Intermediate ,Ottawa,8,,Female,Nope.
 21000 eur/year,3D Layout artist,Junior,Spain,1,,Male,No
"$800/weekly $41,600/yearly",3D Layout Artist,Junior,Toronto/Vancouver,Less than a year,AC,Male,No
65000 cad,3d layout artist ,Intermediate ,Toronto ,44624,,Male,No
"155,000 USD",3D Lead,Senior,Los Angeles,8,buck ,Female,No
Rs.40000 per month,3d lighter,senior,"chennai,  tamil nadu",6+,india,Male,No
150000.00,3D lighter / generalist,Senior,New York City,4,Freelance,Male,No
6600usd/year,3D Lighting Artist,Senior,Indonesia,3,SSE,Male,No
"95k USD base pay, plus ~30k USD bonus per year",3D Lighting Artist for games,Mid-level,"Burbank, CA",44624,,Male,No
163k /year us dollars,3D Modeler,Senior,Los Angeles,9 years,,Female,animation guild
"$83,200 CAD",3D Modeler,Intermediate,"Toronto, ON",7,,Female,No
RM 4000,3D modeler,Mid,Malaysia,2,,Female,No
12.000.000 CLP a year,3D modeler,junior,Chile,0,,Female,no
49000.00,3D Modeler,Junior,"Toronto, Ontario",1,,Male,No
42 USD /hr,3D Modeler,Senior,Chile,8,Freelance,Female,
73000.00,3D Modeler,Mid,Montreal,5,,Male,No
55K CAD,3d Modeler,Junior,Vancouver,Almost two,,Male,No
50 CAD/hour,3D modeler,Junior,Toronto,7,,Male,No
$65k CAD,3D Modeler,Intermediate,Central Canada,3,,Female,No
95000 CAD,3D Modeler,Mid,Montreal,5,,Male,
48000 CAD,3D modeler ,Junior ,Toronto ,2,,Female,No 
"$90,000CAD",3D Modeler ,Mid ,Vancouver ,4,,Female,
75k CAD,3D Modeler (TV Animation) ,Lead,Vancouver ,5,,Female,No
"$49,000 CAD",3D Modeler / Painter,Junior,Montreal,1,MilViz,Male,No
$200/day,3D Modeler Internship,Entry/Junior,"Los Angeles, CA",0,,Female,No
50€/h without taxes,3D modeling teacher,Mid,Paris France,4,,Non Binary,Not yet
70000 cad,3d modeller,Senior,Vancouver,8,Wildbrain,Male,No
"44,000 CAD",3D Modeller,Junior,"Ontario, Canada",<1,,Male,no
$1000 AUD per week (before tax),3D Modeller (and groomer),Mid,Australia (QLD),3,,Female,No (currently no unions in Aus)
0$,3D modler and animator ,Junior ,Jordan,1,University ,Female,No
160k CAD,3D Motion Designer,Mid,"Montreal, Canada",4 years,Freelance,Male,No
"$105,000 USD",3D Motion Designer,Mid,NYC,7,,Male,No
1050€ per month,3D prop and environment artist,Intern,Spain (Madrid),1,,Female,No :(
$21.63 CAD/h,3D Prop Designer,Junior,"Vancouver, British Columbia",1,Mainframe Entertainment,Female,No
"€ 28,000",3D props artist,Junior,Cork,Less then 1 (entry level job),,Non Binary,
62000 CAD,3D revisionist,Junior,Vancouver,"1.5 year in 2d, 0 in 3d",,Female,No
"52,000 CAD",3D Rigger,Intermediate,"Vancouver, Canada",2,,Female,No
1500/wk CAD,3D Rigger,Senior,Toronto,10,,Female,
$1124/month USD,3d rigger,Junior,Chile,1,,Female,
 993 USD 800 CLP /Month,3D Rigger,Junior,Chile,2 years,,Male,No.
60k CAD,3D Surfacing artist,Intermediate,Toronto,3,,Female,
98000.00 CAD a year ,3D TV Art director ,Senior,"Vancouver, BC, Canada",8+,Mainframe ,Female,No
100k CAD,3D VFX animator,senior Animator,Montreal,8,Framestore,Male,
100000 USD,3D Virtual Production Artist,Mid,Los Angeles,5,,Male,No
"25,000 pounds ",3D/2D animator,Junior,UK (North of Ireland),2.5 years,,Male,No
26000.00,3ddmp,junior,,,MPC episodic,Female,
40000cad/year,3DModeler & Texture Artist,Junior ,Vancouver ,0,ICON Creative Studio,Female,No
$30 Hours,3G Generalist ,Freelance :p,Indonesia,1,UpWork ,Male,
£18000 a year,AAA Concept artist,Junior,UK,"2,5",Opus Artz,Male,no
"$140,000 aud",After effects animator,Senior ,"Melbourne, Australia ",8,Freelance,Male,No
63000.00,Analyst,Junior ,Los Angeles,3,Sony pictures,Female,No
103000 CAD,Anim Director ,Junior,Vancouver ,-,Icon,Female,
$2250 USD,Animatic Editor,Mid?,LA,5,Netflix Animation,Female,MPEG
$3500/week,Animatic Editor,Mid,Los Angeles,5,,Female,Local 700
$85/$95+ hour,animation,supervisor,LA,30,,Male,
107 000 cad,animation,Senior,vancouver,11,cinesite,Male,nope
"72,000 USD",Animation & Administration Specialist,Junior,Washington D.C,44624,,Female,No
45000 GBP,Animation artist,Mid level,London,9 years,MPC,Male,No
£60k ,Animation director,Mid,London/remote,7,Freelance,Female,No
80000 AUD,Animation Director,Mid,Australia,9,,Male,No
250000AUD,Animation Director,Senior,Australia,9,Freelance,Male,No
130000 canadian,Animation Director,Director,"Vancouver, Canada",15,,Male,No
"$92,000 CAD",Animation Director,Junior,Vancouver BC,5,,Male,No
130000 Cad,Animation Director,Director,Vancouver,9,,Male,No
$3300/week USD,Animation Director ,N/a,NYC,15,Late Night Cartoons (CBS),Male,No
"CAD $190,000",Animation Director ,Manager,Toronto ,20,,Male,No
"£40,000",Animation Director/3D Animator,Freelance,London,6,,Male,
170k / yr,Animation Lead,Principal,USA - California,14,,Male,No
35000.00,Animation Lead,Senior? ,Dublin,5,Boulder Media,Female,no
"37,000 euro",animation lead /,senior,ireland dublin,5,Boulder,Male,no
£3000 p/m,Animation Lead/Supervisor,Senior,"Manchester, U.K.",14,,Male,No
47000.00,Animation Producer,Associate,Midwest US,2,,Female, no
"~$62,000 USD/year (plus bonuses)",Animation Producer,Associate,New York City area,3,,Female,
65 000 CAD,Animation Project Lead,Mid,Montreal,6,,Female,No
"160,000/year",Animation sup,Sup,Montreal,12,,Male,No
"$155,000 CAD /year",Animation Supervisor,Supervisor,Vancouver,11,,Male,No
90.000 cad,Animation Supervisor,Supervisor,Vancouver,7,Mainframe,Female,
"320,-",Animation supervisor,Senior,Amsterdam,17,Submarine ,Male,Nope
"180,000 usd",Animation Supervisor,Supervisor,US,12,,Male,No
143000.00,Animation Supervisor,Supervisor,Vancouver,15,,Male,No
"84,000£",Animation Supervisor,Senior,London,8,,Female,no
140000.00,Animation Supervisor,Supervisor,"Vancouver, Canada",10,,Female,No
"£17,500 GBP",Animation Trainee,Trainee,London,<1,,Male,No
70000 GBP,Animator,Senior,London,13,,Male,
$42 CAD,animator,intermedia,vancouver,7,Sony picture imageworks,Male,no
MYR 2200 ( 525.71 USD ) monthly,Animator,Junior,Malaysia,2,Giggle garage ,Male,no
"TWD $40,000 ( $1,438 USD )",Animator,Mid,"Taipei, Taiwan",5,CGCG inc,Male,no
100000.00,Animator,mid,,7,,,
80000.00,Animator,,,8,Flying Bark,,
75000.00,Animator,mid,Vancouver,5,Sony Feature,Male,
1600 AUD week,Animator,lead,,,,,
40000.00,Animator,junior,,,,,
"50,000 CAD",Animator,junior,Vancouver,,,Female,
"43,000 pounds",animator,lead,,5,,,
22000.00,animator,junior,UK,4,,,
125000.00,animator,,California,4,,,
"38,000 pounds",animator,junior,UK,,mpc,,
"40,000 pounds",animator,junior,UK,,,,
"30,000 euros",animator,mid,France,6,,Female,
"90,000 CAD ",animator,,Montreal,7,,,
100 euro day,animator,junior,France (Paris),,,Male,
"60,000 cad",animator,mid,Montreal,3,,Male,
"75,000 cad",animator,mid,vancouver,7,,Female,
85000.00,animator,,Vancouver,5,,Female,
60000.00,animator,,remote,,,Male,
"35,000 pounds",animator,,UK,7,,Male,
3500 euro month,animator,,France,4,,,
"30,000 euro",animator,junior,Paris,1,,Female,
"32,000 pounds",animator,,London,1,dneg,,
"56,000 cad",animator,junior,Vancouver,1,,,
30000.00,animator,,Seattle,1,,Female,
"90,000 cad",animator,senior,Montreal,,,Female,
46000.00,animator,junior,,,mpc,,
82000.00,animator,,,3,,Female,
7200 Usd per year,Animator,Junior,Bolivia,3,Firerobot,Male,No
"100,000 CAD",animator,Senior,Montreal ,6,,Female,No
~30k ($25 USD an hour),Animator,Junior,Seattle,1,,Female,Nah
"CA$ 94,500 yearly",Animator,Intermediate,Vancouver,15,Sony Imageworks,Male,No
52000 CAD,Animator,Junior,Vancouver,1,Atomic,Female,No
45k myr/year,Animator,mid,Malaysia,6,,,no
65k CAD yearly,Animator,Mid,Montreal,5-6 years,,Male,No
88K CAD,Animator,High mid,Vancouver ,5,Cinesite,Female,No
"$1,000 U.S. dollars per Week (contract)",Animator,Junior,USA (midwest) working remote,1,BRON,Male,no
36.000 euros anually,Animator,Senior,Spain,6,,,
30000€ per year,animator,junior,Paris,1,superprod,Female,no
"£23,000",Animator,Junior,England,3,Rebellion,Male,No
28k,Animator,Mid,Madrid,7,Skydance,Male,No
1500000.00 Rs / year,Animator,Higher - Mid,India,10+,DNEG VFX,Male,
"€43,800 a year",Animator,Senior,"Amsterdam, the Netherlands",10,a VR games studio,Female,
"CAD 65,000/year",Animator,Junior,Canada,3,,Female,No
95K/year,Animator,Senior,Montreal,11,DNEG,Male,No
138000 USD,Animator,Mid/Senior,Los Angeles,5,Walt Disney Animation Studios,Male,Animation Guild
97.500 CAD,Animator,Senior,Vancouver,14,Sony Imageworks,Male,No
110000 CAD,Animator,Senior,Vancouver,4,Animal Logic,Male,No
110000.00,Animator,N/A,San Francisco,11,,Male,No
CAD 875/ week,Animator,Junior,Vancouver Canada,a little over 1 year,Atomic Cartoons,Female,
GBP45000,Animator,Mid-Senior,London,9 years,MPC,Male,
90 000 CAD,Animator,Mid,Montreal,7,,Male,No
400 Dollars per month,Animator,Mid,Mexico,2,Mighty Studio,Female,No
73000 CAD,Animator,Mid,Vancouver,3,Sony,Male,No
"80,000 pounds",Animator,Senior ,London,12,Dneg,Male,No
67500CAD,Animator,Junior/Mid,Vancouver,5,,Female,No
~$140k USD,Animator,Senior,Emeryville,10+,,,No
77900.00,Animator,Senior,"Portland, Oregon",6 years,BibleProject ,Male,No
$51/hr usd,Animator,Senior,San Francisco ,11,ILM,Male,No
$60/hr usd,Animator,Lead,Los Angeles,12,,Male,No
46k,Animator,Intermediate ,"Ottawa, Canada",4,Mercury Filmworks,Female,no
"28,800 €",animator,junior,Ireland,3,,Female,We need to talk to our coworkers and organise!
78 000 cad,animator,Mid,Vancouver,10,sony imagework,Male,no
106k a year,animator,mid,los angeles,6,Riot Games,Male,no
100 000 AUD,Animator,Intermediate,Sydney,7,ILM,Female,No
80000.00,Animator,Mid,Bay Area,7,2K,Male,No
"£17,500",animator,apprentice,"England, london ",-1 year,,Female,no
28.85 CAD per hour,Animator,Junior,Vancouver,44595,Sony Imageworks,Male,no
24000 Pounds,Animator ,Junior,Uk,2,,Male,
"47,000 cad",animator ,junior,Toronto,1,,Female,
CAD 91k,Animator ,Mid,Vancouver,7 years,Sony imageworks,Male,No
"48,000 CAD ",Animator ,Junior ,Montreal ,Almost 2,MPC ??,Female,I don’t think so 
£32 000 ,Animator ,Junior ,London ,1,Framestore ,Female,No
56 000 CAD,Animator ,Mid,Montreal,6,Squeeze,Male,no
$36k Canadian ,Animator ,Intermediate,"Ottawa, Canada",4 years,Mercury Filmworks,Female,Nope
100 000$ cad,Animator ,Senior,Montreal ,10,,Male,No
40.00 €,Animator (2D & 3D),Mid,Spain,8,,Male,
88k CAD,Animator (Feature) ,Senior,Montréal,10,,Male,No 
92k/yr CAD,Animator Cinematic,Senior,Toronto,8,Ubisoft,Female,No (I wish)
150000.00,animator feature,lead,,4,,,
"80,000 cad",animator feature,,Montreal,5,,,
"115,000 cad",animator feature,lead,Vancouver,9,,,
"107,000 cad",animator feature,senior,Vancouver,12,,Male,
"£19,000",animator(3D),Junior,London ,0,Jellyfish,Female,No
"$55,000 annually before taxes",Animator/Motion Designer,Junior,"Atlanta, Georgia",3,,Non Binary,No
"20,000-30,000USD/Year",Archviz Artist,Senior,Mexico,20,Freelance,Male,No
19.50hr ,Armaturist ,Jr,Hillsboro ,8 years,Laika,Female,Nope
150k usd,art director,mid,L.A.,8 yrs,,Male,tag
"£40,000",Art Director,Senior,London,5,,Female,
"$197,600 USD",Art Director,Senior,Los Angeles,10,,Female,TAG
£32k,Art Director,HoD,UK,5,,Female,No
7000 REALEA,Art director,Senior,Brazil,5,,Male,Nao
CAD1700 / week,Art Director,Senior,"Toronto, Ontario",9,,Female,No
"171,600 USD",Art Director,Mid,Los Angeles,9,,Female,TAG 839
U$D 135.000 /year,Art Director,Senior,NYC,10,,Male,"No, I wish"
USD$75k,Art Director,Mid,Halifax Nova Scotia,6 years,,Female,
58000 GBP,Art Director,Senior,London,16,,Female,No
105000.00,Art Director,Senior,New York,11,,Female,No
"65,000£",Art Director,Junior,"London, UK",~10,,Male,no
£55000 per year,Art Director,Mid,UK ,8+,,Female,No
"$82,000 USD",Art Director,Mid,Washington DC,3 yr AD / 11 yr animation,Duke Duck,Female,No
€67k,Art Director ,Junior,Ireland,5,,Female,No
$3000 USD / Week,Art Director ,N/A,los angeles,8-9 years,Nickelodeon,Female,"Yes, IATSE animation guild"
Over $3000 a week USD,Art Director ,Senior/Lead,Los Angeles,10+,Disney TV,Other,TAG 839
Euro,Art Director ,Junior ,Dublin,5,,Female,No
"€ 46,100",Art director ,Junior ,Dublin,5,,Female,No
"115,000 usd",Art director and motion designer,Senior,"Chicago, il",9,,Female,
$1600 USD/Day,Art Director/CG Lead,Senior,Los Angeles,6,Freelance,Male,No
80k USD,Art Sourcer ,Mid-level ,"Burbank, CA","5 years in the industry, 1 year in role ",Big Animation Studio ,Female,No 
$50000 CAD,Artist,Junior,Toronto,<1 year,,Female,
40.000 CAD,Artist Layout,Junior,Montreal,1,MPC,Female,
R15 000 ,Asset & Character Artist,Junior,South Africa,2,,Female,
72000 CAD anually,Asset Artist,Mid range,Toronto,~3 years,Vfx,Female,no
15.000.000 IDR / MONTH,Asset Artist,Senior,Indonesia,8,,Male,
Rs. 44000/- per month (INR),Asset artist ,Mid level,"Bangalore, India","1year in vfx, 2years in games.",MPC,Male,NO
15.50 an hour usd,Asset designer ,Junior,Utah,0+,,Female,
$1100 Canadian a week ,Asset Manager ,Manager,Canada,6 years,,Female,no
32000.00,Asset modeller,Mid,London,2,MPC,Female,
110k CAD,Asset Supervisor ,Senior ,Vancover ,5,,Female,No
91000.00,assets lead,senior,montreal,10,,Male,no
$2100 per week ,Assistant Animation Editor,Junior,"Burbank, CA",5,,Female,"Yes, MPEG"
$2400/ week,Assistant animation editor ,Assistant,Los angeles,3,Netflix,Female,EDITORS GUILD
£200-220 GBP per day,Assistant Animator,Depends where I'm working as I'm freelance,"London, UK",6,,Female,No ??
$800 ARS per hour,Assistant animator/Cleanup artist,Junior,Argentina,3 months,,Female,
140 € jour,Assistant de production,Mid,Paris,5,,Female,
80000 CAD,Assistant Production Manager,Mid level,Toronto Canada,10+,,Female,
$950/wk,Assistant Production Manager,Junior,Los Angeles,1,Warner Bros Animation,Female,No
"£25,500",Assistant TD (Pipeline),Junior,London,4 months,,Male,
39$/hr,Assistant Technical Director,Junior,Los Angeles,less than 1,,Female,no
$130k + 10% bonus,"Associate Creative Director, Motion",Senior,Chicago,12,Agency,Male,No
$8300 CAD,Associate Production Manager,Senior,"Vancouver, BC",8,Sony Pictures Imageworks,Male,No
72000 cad,Associate Production Manager,Int,Vancouver,4,,Female,No
110000.00,background art,,LA,,,Female,
2600€ rough /month,Background artist,Mid ,Ireland,Almost 3,,Female,No
"30,000 euros ",Background artist,Junior ,"Dublin, Ireland",2,,Male,No
GBP 550 p/week,Background Artist,Mid,UK,3,,Female,No
"88,000 AUD",Background Artist,Senior,Australia,5+,,,
600 euro per week,Background artist,Junior,Dublin ,44563,,Female,No
£24 000,Background Artist,Junior,"Brighton, UK",1,,Female,
33’000,Background Artist,Mid level,Dublin Ireland,4,Boulder Media ,Female,No
27k € per year,Background Artist,Mid-tier,Ireland,3,Lighthouse Studios,Female,No
€600 per week,Background Artist,Mid/Senior,Ireland,3,Freelance,Female,No
€36K a year,Background artist,Lead,Ireland,3,,Male,
1000 CAD/weekly,Background Artist,Junior,Brazil,2,N/A - Freelance,Non Binary,No
500 euros/week,Background Artist,Junior,Italy (remote),Almost 1,Boulder Media (freelance),Female,No
750£ a week ,Background artist,Junior,Remote,2,Aardman,Female,No
"44,000 cad/year",Background Artist ,Senior,Toronto ,2,,Female,No
"$58.00 hr / $2,200.00 wk",Background Desginer,Journeyman?,"Burbank, CA, USA",1 yr 10 months,Warner Brothers Animation,Female,"Yes, IASTE 839"
$2204.20/week (USD),Background Designer,Mid,Los Angeles,6,Warner Brothers ,Female,"Yes, IATSE Local 839"
$2200 USD/week,Background Designer,Junior,Glendale,>1 year,,Female,TAG
2800 USD/week,Background Designer,Journeyman,Los Angeles,10,Netflix,Female,IATSE TAG 839
$2200/week (USD),Background Designer,Journeyman,"Los Angeles, California, USA",44563,Titmouse,Female,"yes, IATSE 839"
$1250 AUD per week,Background Paint,Junior,"Sydney, Australia",Less than 1 year,,Non Binary,No
$117270.40 USD annually,background painter,--,"Los Angeles, CA",6,,Female,The Animation Guild
"CAD $48,000 / Year",Background Painter,Junior,"Toronto, Ontario, Canada",1,,Female,
£650 p/w,Background Painter,Mid,London,4,,Female,No
€2600 a month before tax,Background Painter,Mid,Ireland,4,Lighthouse Studios,Female,No
2800 CAD,Background Painter,Idk,Toronto (working remote for a US company),2,,Female,Nope
$2200 USD per week,Background Painter,Mid,"Burbank, CA",2 Years,Nickelodeon,Female,IATSE Local 839
2800 CAD /wk,Background Painter,-,Toronto (remote),2,,Female,No
$950 CAD a week,Background painter,Junior,Toronto ,0,Nelvana,Male,No
£2100 per month,Background Painter ,Junior ,Northern Ireland (UK),1,Dog Ears ,Female,No
1600 eur / week,Background painter & concept artist (freelance),Senior,Remote,7,,Female,No
43200 euro per year before tax,Background Supervisor,Supervisor,Ireland,5+,Lighthouse Studios,Female,No
74000.00,background supervisor,Senior,Toronto,10 years,,Female,
"£38,000",Background Supervisor,Senior,Ireland,7,,Other,No
1400/wk,BG 2D Layout Artist ,Senior,Vancouver,9,Atomic,Female,Nope
2000 a week USD,BG Design,Junior,"Burbank, California, USA",2,Nickelodeon,Female,"Yes, TAG 839"
$1475 per week,BG Design Lead,Senior,Los Angeles,6.5 years,,Male,Yes
120960.00,BG Designer,Senior,Los Angeles,6+,Nickelodeon,Female,839.00
"2,120$ a week before taxes",BG Designer,Normal,"Burbank, CA",4 years,Nickelodeon,Non Binary,Animation Guild 
110k a year,BG Designer ,Journey,Los Angeles,6,Nickelodeon,Female,IATSE Local 839
$2303/wk,BG Designer - televisions,MID,Los Angeles,3,Titmouse,Female,Yes - 839
1000$/week,BG Layout,Junior,Toronto,0-1 year,Brown Bag Films,Female,No
57200 aud  salary,BG Layout ,jr,australia,1,flying bark,,
$1200 CAD/wk,BG Layout Supervisor,Junior,"Vancouver, BC",1,,Male,938.00
$40/hr CAD,BG painter,Senior,Toronto,9,,Female,no
72000 CAD,BG Painter,Senior,Toronto ON Canada,11,Guru Studio,Female,nope
600.000 CLP,Bg Painter,not labeled,Chile,7,,Male,No
1700/wk,BG painter/BG designer,junior,"Los Angeles, CA",<1,Starburns Industries,Female,no
3400 a month,Bg supervisor,senior,Irlande,7,,Female,
28k,Blenshape Artist,Junior,Uk ,3 months lol,Dneg,Female,No
580 USD,Cel Animator,Senior,"Europe, working remotely",aprox 5,,Male,no
$700/day,Cel animator,Senior,"Los Angeles, USA",9,Freelance,Female,No
66 000,cfx,mid,toronto ,3,mpc,Male,no
65000.00,CFX,Mid,Toronto,3,,Female,No
40k/year £ (GBP),CFX,Mid,London,3,,Female,
80k cad,CFX,senior,Montreal,6,,Female,No
29 CAD an hour (roughly 55k),CFX,Mid,Montreal ,3,,Male,No
"45,000 CAD/ year",CFX,Junior,Montreal,Less than 1,,Female,
56000 Cad,Cfx,Mid,Toronto,44595,,Male,
85K USD/Yearly,CFX Artist,Intermediate,LA,4 years,,Male,
45 000 cad per year,CFX Artist,Junior,Montréal,2,,Male,
"50,000£",CFX Artist,Mid,London,8,MPC,Male,No
250 000 HUF / Month,CFX Artist,Junior,Hungary,4,Digic Pictures,Male,
44k gbp,Cfx artist,Senior,London,1 year 8 months,,Male,No
"£42,000",CFX lead,Senior,Glasgow,10,Axis,Male,No
136k cad,Cg,Lead,Toronto ,7,,Male,
"156,800 USD/yearly",CG Animator,not labeled,Los Angeles ,8+,Disney Feature,Female,yes
"$60,000 USD",CG Animator,Junior,"Orange County, California",1,,Female,No
"83,000 CAD/Year",CG Animator Feature,Mid,Toronto,3,DNEG,Female,No
170k,CG Art Director,Senior,Remote,10,A huge one,Male,No
60k CAD / year,CG Designer,Mid,Vancouver,1,Atomic Cartoons,Female,no
81000cad,Cg designer,Mid,Vancouver,7,,Female,No
1000 CAD dollars weekly,CG designer ,Junior,Vancouver,1,Atomic Cartoons,Female,no 
80.000 GBP,CG Generalist,Senior,London ,9,The Mill,Male,No
$74k USD,CG Generalist,jr,LA,2,Ingenuity,Male,nope
30/hour USD (about 60k),CG Generalist,Junior,LA,1,,Female,No
$55/hr USD,CG Generalist,Mid-Senior,Spain-US-Remote,10,,Male,No
36500 £/year,CG generalist,Mid,United Kingdom ,4,,Female,No
£140 a day,CG Generalist,Supervisor,UK (not London),10+,,Male,No
75K,CG Generalist,Junior,Los Angeles,2,Buck,Non Binary,No
75000.00,CG Generalist,Junior,"Detroit, MI",3,,Female,No
450 USD / day ,CG generalist ,Senior,India (remote work for US) ,5,,Female,No 
30k GBP/ year,CG Generalist ,Junior/Mid,UK,1,,Other,nope
95k/year,CG Layout Artist,Mid,Vancouver,12,Sony Pictures Imageworks,Female,no :( 
80K CAD,CG Lighter,Intermediate,Vancouver,3,Animal Logic,Female,No
170000.00,cg supe,,,10,,,
$CA 150k/year,CG Supervisor,Junior,Vancouver,13,,Male,
150 000 CAD,Cg Supervisor,Mid,Montreal,9,,Female,
176000 USD,CG Supervisor,Supervisor,Los Angeles,11,,Female,Yes
145600 USD,CG Supervisor,Supervisor,Burbank California,7,Nickelodeon,Male,TAG839
155k,CG Supervisor,Senior,Montreal,22,,Male,
"170,000 USD",CG Supervisor,Manger,New York,20,,Male,No
145K CAD,CG supervisor,Supervisor,Montreal,14,MPC,Male,No
170000.00,CG Supervisor,Supervisor/Director,Los Angeles,20,,Male,yes
160000.00,CG Supervisor,Senior,New York,12,Undisclosed ,Male,No
"120,000 CAD",CG Supervisor,Mid,Montreal,8,MPC,Male,No
135000 cad,CG Supervisor,Supervisor,Montreal,15,Mikros Animation,Male,
72000€/year,cg supervisor,senior,Paris,15,,Male,
135 000 CAD$,CG supervisor ,Junior ,Montreal ,14,,Male,No
€400/day,CG Supervisor/ 3D Generalist,senior,Brussels,14 years,Freelance,Male,No
2300GBP per month ,Character and Prop designer,Mid,London,0,,Other,
"$74,000 USD",Character Animator,Senior,United States Remote,6,,Male,no
90000.00,Character Artist,,Seattle,5,,Male,
75200.00,Character Artist,Mid,Seattle,4,,Female,No
40 000 CAD,Character Artist,Junior,Canada,2,,Female,
36.7K pounds/year,Character Design,Supervisor ,UK ,7,,Female,No
$1350/week,Character design ,Mid ,Vancouver ,7,,Male,No
$70hrly USD,Character Designer,Lead,Los Angeles,10+,,Female,Local 839
2900/week,Character designer,senior,Los Angeles,10,Netflix,Female, local 839
2260.00,Character Designer,Journey,"Los Angeles, CA",29,Nickelodeon,Male,TAG Local 839
63 000 € per year,Character designer,Mid,"Croatia, but work remotely (since covid) for UK, EU and US","4,5",Netflix,Female,Nope
1500/ week Can,Character Designer,Senior,Canada,10,,Non Binary,no
90K €,Character Designer,Senior,France,12,Freelance,Male,
2400 usd (im freelancing from canada),character designer,senior,vancouver ,5,shadowmachine,Non Binary,studio is but since im in canada im not
$2600/week US,character designer,journeyman,So Cal,40+,Marvel animation,Male,yes - 839
"$125,000 USD",Character Designer,Lead,"Los Angeles, CA",8,Gaumont,Male,"Yes, 839"
2250 USD Weekly,Character Designer,journeyman,Los Angeles,"8 years: 3 non-union, 5 union",,Female,TAG 839
2500€/month without taxes,Character designer ,Junior,France,1,,Female,
$1500 CAD / week,Character designer ,Mid level ,"Toronto, Ontario",6,Atomic Cartoons,Female,No
